Time,Winner,Loser,winner,loser
1,A,H,1,8
2,A,I,1,9
3,A,I,1,9
4,A,D,1,4
5,A,H,1,8
6,A,E,1,5
7,D,J,4,10
8,A,D,1,4
9,A,E,1,5
10,A,C,1,3
11,A,J,1,10
12,A,C,1,3
13,A,K,1,11
14,A,I,1,9
15,A,E,1,5
16,A,E,1,5
17,A,E,1,5
18,A,E,1,5
19,A,E,1,5
20,A,E,1,5
21,A,E,1,5
22,A,D,1,4
23,A,E,1,5
24,A,D,1,4
25,A,C,1,3
26,A,K,1,11
27,A,H,1,8
28,A,B,1,2
29,A,K,1,11
30,G,B,7,2
31,A,G,1,7
32,A,H,1,8
33,A,C,1,3
34,A,J,1,10
35,A,F,1,6
36,C,J,3,10
37,A,F,1,6
38,A,J,1,10
39,A,H,1,8
40,A,C,1,3
41,A,D,1,4
42,A,C,1,3
43,A,D,1,4
44,A,C,1,3
45,A,C,1,3
46,A,D,1,4
47,C,H,3,8
48,A,E,1,5
49,D,J,4,10
50,C,H,3,8
51,C,K,3,11
52,C,B,3,2
53,C,H,3,8
54,C,J,3,10
55,B,H,2,8
56,B,J,2,10
57,B,D,2,4
58,B,J,2,10
59,C,D,3,4
60,A,H,1,8
61,A,B,1,2
62,H,A,8,1
63,A,G,1,7
64,A,C,1,3
65,C,F,3,6
66,A,F,1,6
67,A,H,1,8
68,G,H,7,8
69,C,H,3,8
70,C,G,3,7
71,C,H,3,8
72,C,D,3,4
73,C,H,3,8
74,I,D,9,4
75,C,H,3,8
76,H,J,8,10
77,B,C,2,3
78,B,D,2,4
79,B,F,2,6
80,B,G,2,7
81,G,H,7,8
82,C,H,3,8
83,D,H,4,8
84,A,C,1,3
85,A,J,1,10
86,F,D,6,4
87,A,C,1,3
88,A,F,1,6
89,A,H,1,8
90,A,E,1,5
91,C,H,3,8
92,A,C,1,3
93,A,G,1,7
94,A,E,1,5
95,C,J,3,10
96,C,H,3,8
97,C,H,3,8
98,F,D,6,4
99,A,E,1,5
100,C,D,3,4
101,C,F,3,6
102,A,C,1,3
103,A,H,1,8
104,C,H,3,8
105,A,D,1,4
106,A,C,1,3
107,A,C,1,3
108,A,H,1,8
109,C,H,3,8
110,C,G,3,7
111,A,G,1,7
112,A,C,1,3
113,C,E,3,5
114,A,C,1,3
115,E,C,5,3
116,A,E,1,5
117,A,C,1,3
118,K,H,11,8
119,C,K,3,11
120,C,E,3,5
121,A,K,1,11
122,G,K,7,11
123,C,G,3,7
124,C,J,3,10
125,A,J,1,10
126,A,G,1,7
127,K,H,11,8
128,F,C,6,3
129,A,K,1,11
130,C,E,3,5
131,D,H,4,8
132,A,D,1,4
133,A,H,1,8
134,A,D,1,4
135,A,D,1,4
136,A,B,1,2
137,A,I,1,9
138,A,J,1,10
139,A,I,1,9
140,C,J,3,10
141,A,G,1,7
142,A,C,1,3
143,A,C,1,3
144,A,J,1,10
145,C,G,3,7
146,C,G,3,7
147,C,G,3,7
148,A,C,1,3
149,A,C,1,3
150,A,B,1,2
151,A,G,1,7
152,A,G,1,7
153,A,I,1,9
154,A,C,1,3
155,E,G,5,7
156,G,E,7,5
157,G,J,7,10
158,G,J,7,10
159,G,J,7,10
160,G,J,7,10
161,G,J,7,10
162,G,J,7,10
163,E,G,5,7
164,E,G,5,7
165,E,J,5,10
166,J,K,10,11
167,G,J,7,10
168,A,G,1,7
169,A,G,1,7
170,A,D,1,4
171,A,J,1,10
172,A,D,1,4
173,A,G,1,7
174,A,D,1,4
175,A,K,1,11
176,A,D,1,4
177,A,J,1,10
178,A,G,1,7
179,A,C,1,3
